emg,gesture
;;5;-13;;;7;;;0;;;6;;-4;;-9;;;5;;;5;-13;;;7;;;0;;;6;;-4;;-9;;;5;;;5;-13;;;7;;;0;;;6;;-4;;-9;;;5;;;5;-13;;;7;;;0;;;6;;-4;;-9;;;5;;;5;-13;;;7;;;0;;;6;;-4;;-9;;;5;;;5;-13;;;7;;;0;;;6;;-4;;-9;;;5;;;5;-13;;;7;;;0;;;6;;-4;;-9;;;5;;;5;-13;;;7;;;0;;;6;;-4;;-9;;;5,1
;25;-15;;;6;-23;-17;;-5;;-7;;-4;;25;-15;;;6;-23;-17;;-5;;-7;;-4;;25;-15;;;6;-23;-17;;-5;;-7;;-4;;25;-15;;;6;-23;-17;;-5;;-7;;-4;;25;-15;;;6;-23;-17;;-5;;-7;;-4;;25;-15;;;6;-23;-17;;-5;;-7;;-4;;25;-15;;;6;-23;-17;;-5;;-7;;-4;;25;-15;;;6;-23;-17;;-5;;-7;;-4,1
;;3;-15;-25;;;1;;;0;;;3;;;0;-48;;;3;-15;-25;;;1;;;0;;;3;;;0;-48;;;3;-15;-25;;;1;;;0;;;3;;;0;-48;;;3;-15;-25;;;1;;;0;;;3;;;0;-48;;;3;-15;-25;;;1;;;0;;;3;;;0;-48;;;3;-15;-25;;;1;;;0;;;3;;;0;-48;;;3;-15;-25;;;1;;;0;;;3;;;0;-48;;;3;-15;-25;;;1;;;0;;;3;;;0;-48,1
;;9;-27;;-1;;;4;;-7;;;5;;20;;82;;;9;-27;;-1;;;4;;-7;;;5;;20;;82;;;9;-27;;-1;;;4;;-7;;;5;;20;;82;;;9;-27;;-1;;;4;;-7;;;5;;20;;82;;;9;-27;;-1;;;4;;-7;;;5;;20;;82;;;9;-27;;-1;;;4;;-7;;;5;;20;;82;;;9;-27;;-1;;;4;;-7;;;5;;20;;82;;;9;-27;;-1;;;4;;-7;;;5;;20;;82,1
-13;;29;;;4;;-9;-11;-12;-33;-63;-13;;29;;;4;;-9;-11;-12;-33;-63;-13;;29;;;4;;-9;-11;-12;-33;-63;-13;;29;;;4;;-9;-11;-12;-33;-63;-13;;29;;;4;;-9;-11;-12;-33;-63;-13;;29;;;4;;-9;-11;-12;-33;-63;-13;;29;;;4;;-9;-11;-12;-33;-63;-13;;29;;;4;;-9;-11;-12;-33;-63,1
-8;29;-1;;4;;3;-1;11;25;-8;29;-1;;4;;3;-1;11;25;-8;29;-1;;4;;3;-1;11;25;-8;29;-1;;4;;3;-1;11;25;-8;29;-1;;4;;3;-1;11;25;-8;29;-1;;4;;3;-1;11;25;-8;29;-1;;4;;3;-1;11;25;-8;29;-1;;4;;3;-1;11;25,1
;;4;;;2;;;1;-13;;;4;;;3;-14;-20;;;4;;;2;;;1;-13;;;4;;;3;-14;-20;;;4;;;2;;;1;-13;;;4;;;3;-14;-20;;;4;;;2;;;1;-13;;;4;;;3;-14;-20;;;4;;;2;;;1;-13;;;4;;;3;-14;-20;;;4;;;2;;;1;-13;;;4;;;3;-14;-20;;;4;;;2;;;1;-13;;;4;;;3;-14;-20;;;4;;;2;;;1;-13;;;4;;;3;-14;-20,1
30;27;-1;;3;-4;23;;0;-1;30;27;-1;;3;-4;23;;0;-1;30;27;-1;;3;-4;23;;0;-1;30;27;-1;;3;-4;23;;0;-1;30;27;-1;;3;-4;23;;0;-1;30;27;-1;;3;-4;23;;0;-1;30;27;-1;;3;-4;23;;0;-1;30;27;-1;;3;-4;23;;0;-1,1
-16;-18;-14;;-4;;-4;-21;;16;;43;-16;-18;-14;;-4;;-4;-21;;16;;43;-16;-18;-14;;-4;;-4;-21;;16;;43;-16;-18;-14;;-4;;-4;-21;;16;;43;-16;-18;-14;;-4;;-4;-21;;16;;43;-16;-18;-14;;-4;;-4;-21;;16;;43;-16;-18;-14;;-4;;-4;-21;;16;;43;-16;-18;-14;;-4;;-4;-21;;16;;43,1
;11;;43;;16;;-4;;;8;;19;-10;-29;;11;;43;;16;;-4;;;8;;19;-10;-29;;11;;43;;16;;-4;;;8;;19;-10;-29;;11;;43;;16;;-4;;;8;;19;-10;-29;;11;;43;;16;;-4;;;8;;19;-10;-29;;11;;43;;16;;-4;;;8;;19;-10;-29;;11;;43;;16;;-4;;;8;;19;-10;-29;;11;;43;;16;;-4;;;8;;19;-10;-29,1
;-2;-48;-18;;;0;;-9;;;1;;;2;;19;;-2;-48;-18;;;0;;-9;;;1;;;2;;19;;-2;-48;-18;;;0;;-9;;;1;;;2;;19;;-2;-48;-18;;;0;;-9;;;1;;;2;;19;;-2;-48;-18;;;0;;-9;;;1;;;2;;19;;-2;-48;-18;;;0;;-9;;;1;;;2;;19;;-2;-48;-18;;;0;;-9;;;1;;;2;;19;;-2;-48;-18;;;0;;-9;;;1;;;2;;19,1
;-5;-19;-22;;11;;;3;;-9;;;0;;-8;;-5;-19;-22;;11;;;3;;-9;;;0;;-8;;-5;-19;-22;;11;;;3;;-9;;;0;;-8;;-5;-19;-22;;11;;;3;;-9;;;0;;-8;;-5;-19;-22;;11;;;3;;-9;;;0;;-8;;-5;-19;-22;;11;;;3;;-9;;;0;;-8;;-5;-19;-22;;11;;;3;;-9;;;0;;-8;;-5;-19;-22;;11;;;3;;-9;;;0;;-8,1
-2;15;19;19;;5;;3;-8;11;-2;15;19;19;;5;;3;-8;11;-2;15;19;19;;5;;3;-8;11;-2;15;19;19;;5;;3;-8;11;-2;15;19;19;;5;;3;-8;11;-2;15;19;19;;5;;3;-8;11;-2;15;19;19;;5;;3;-8;11;-2;15;19;19;;5;;3;-8;11,1
;9;37;11;-3;;7;;7;;7;12;;9;37;11;-3;;7;;7;;7;12;;9;37;11;-3;;7;;7;;7;12;;9;37;11;-3;;7;;7;;7;12;;9;37;11;-3;;7;;7;;7;12;;9;37;11;-3;;7;;7;;7;12;;9;37;11;-3;;7;;7;;7;12;;9;37;11;-3;;7;;7;;7;12,1
-21;-18;-20;-20;-13;-16;;;7;;;4;-21;-18;-20;-20;-13;-16;;;7;;;4;-21;-18;-20;-20;-13;-16;;;7;;;4;-21;-18;-20;-20;-13;-16;;;7;;;4;-21;-18;-20;-20;-13;-16;;;7;;;4;-21;-18;-20;-20;-13;-16;;;7;;;4;-21;-18;-20;-20;-13;-16;;;7;;;4;-21;-18;-20;-20;-13;-16;;;7;;;4,1
;12;;;5;;24;;;1;;11;;;7;;-8;-17;;12;;;5;;24;;;1;;11;;;7;;-8;-17;;12;;;5;;24;;;1;;11;;;7;;-8;-17;;12;;;5;;24;;;1;;11;;;7;;-8;-17;;12;;;5;;24;;;1;;11;;;7;;-8;-17;;12;;;5;;24;;;1;;11;;;7;;-8;-17;;12;;;5;;24;;;1;;11;;;7;;-8;-17;;12;;;5;;24;;;1;;11;;;7;;-8;-17,1
;10;-37;-13;;;5;;-1;;-4;-13;-33;;10;-37;-13;;;5;;-1;;-4;-13;-33;;10;-37;-13;;;5;;-1;;-4;-13;-33;;10;-37;-13;;;5;;-1;;-4;-13;-33;;10;-37;-13;;;5;;-1;;-4;-13;-33;;10;-37;-13;;;5;;-1;;-4;-13;-33;;10;-37;-13;;;5;;-1;;-4;-13;-33;;10;-37;-13;;;5;;-1;;-4;-13;-33,1
-13;-15;-23;-37;-31;;;8;;;9;;42;-13;-15;-23;-37;-31;;;8;;;9;;42;-13;-15;-23;-37;-31;;;8;;;9;;42;-13;-15;-23;-37;-31;;;8;;;9;;42;-13;-15;-23;-37;-31;;;8;;;9;;42;-13;-15;-23;-37;-31;;;8;;;9;;42;-13;-15;-23;-37;-31;;;8;;;9;;42;-13;-15;-23;-37;-31;;;8;;;9;;42,1
;-3;;21;;22;;37;;11;;;8;;23;-15;;-3;;21;;22;;37;;11;;;8;;23;-15;;-3;;21;;22;;37;;11;;;8;;23;-15;;-3;;21;;22;;37;;11;;;8;;23;-15;;-3;;21;;22;;37;;11;;;8;;23;-15;;-3;;21;;22;;37;;11;;;8;;23;-15;;-3;;21;;22;;37;;11;;;8;;23;-15;;-3;;21;;22;;37;;11;;;8;;23;-15,1
;-2;;;9;;12;;-3;;;9;-10;-32;;11;;-2;;;9;;12;;-3;;;9;-10;-32;;11;;-2;;;9;;12;;-3;;;9;-10;-32;;11;;-2;;;9;;12;;-3;;;9;-10;-32;;11;;-2;;;9;;12;;-3;;;9;-10;-32;;11;;-2;;;9;;12;;-3;;;9;-10;-32;;11;;-2;;;9;;12;;-3;;;9;-10;-32;;11;;-2;;;9;;12;;-3;;;9;-10;-32;;11,1
;15;-90;-16;;-1;;10;;;1;;37;;21;;15;-90;-16;;-1;;10;;;1;;37;;21;;15;-90;-16;;-1;;10;;;1;;37;;21;;15;-90;-16;;-1;;10;;;1;;37;;21;;15;-90;-16;;-1;;10;;;1;;37;;21;;15;-90;-16;;-1;;10;;;1;;37;;21;;15;-90;-16;;-1;;10;;;1;;37;;21;;15;-90;-16;;-1;;10;;;1;;37;;21,1
;23;;43;-14;-13;-29;;-3;-23;-16;;23;;43;-14;-13;-29;;-3;-23;-16;;23;;43;-14;-13;-29;;-3;-23;-16;;23;;43;-14;-13;-29;;-3;-23;-16;;23;;43;-14;-13;-29;;-3;-23;-16;;23;;43;-14;-13;-29;;-3;-23;-16;;23;;43;-14;-13;-29;;-3;-23;-16;;23;;43;-14;-13;-29;;-3;-23;-16,1
;25;;36;;;0;-26;;;5;;17;;10;;26;;25;;36;;;0;-26;;;5;;17;;10;;26;;25;;36;;;0;-26;;;5;;17;;10;;26;;25;;36;;;0;-26;;;5;;17;;10;;26;;25;;36;;;0;-26;;;5;;17;;10;;26;;25;;36;;;0;-26;;;5;;17;;10;;26;;25;;36;;;0;-26;;;5;;17;;10;;26;;25;;36;;;0;-26;;;5;;17;;10;;26,1
;-8;;13;;14;;27;-11;-16;;-7;-34;;-8;;13;;14;;27;-11;-16;;-7;-34;;-8;;13;;14;;27;-11;-16;;-7;-34;;-8;;13;;14;;27;-11;-16;;-7;-34;;-8;;13;;14;;27;-11;-16;;-7;-34;;-8;;13;;14;;27;-11;-16;;-7;-34;;-8;;13;;14;;27;-11;-16;;-7;-34;;-8;;13;;14;;27;-11;-16;;-7;-34,1
;6;-2;16;19;22;16;;9;14;;6;-2;16;19;22;16;;9;14;;6;-2;16;19;22;16;;9;14;;6;-2;16;19;22;16;;9;14;;6;-2;16;19;22;16;;9;14;;6;-2;16;19;22;16;;9;14;;6;-2;16;19;22;16;;9;14;;6;-2;16;19;22;16;;9;14,1
-12;;-1;;;1;;21;;17;;;6;;-4;;;1;-12;;-1;;;1;;21;;17;;;6;;-4;;;1;-12;;-1;;;1;;21;;17;;;6;;-4;;;1;-12;;-1;;;1;;21;;17;;;6;;-4;;;1;-12;;-1;;;1;;21;;17;;;6;;-4;;;1;-12;;-1;;;1;;21;;17;;;6;;-4;;;1;-12;;-1;;;1;;21;;17;;;6;;-4;;;1;-12;;-1;;;1;;21;;17;;;6;;-4;;;1,1
-13;-16;;;1;-14;;-5;-14;;-3;;;4;-13;-16;;;1;-14;;-5;-14;;-3;;;4;-13;-16;;;1;-14;;-5;-14;;-3;;;4;-13;-16;;;1;-14;;-5;-14;;-3;;;4;-13;-16;;;1;-14;;-5;-14;;-3;;;4;-13;-16;;;1;-14;;-5;-14;;-3;;;4;-13;-16;;;1;-14;;-5;-14;;-3;;;4;-13;-16;;;1;-14;;-5;-14;;-3;;;4,1
;;4;;-2;-10;-65;-30;;-5;;;1;;-9;;;4;;-2;-10;-65;-30;;-5;;;1;;-9;;;4;;-2;-10;-65;-30;;-5;;;1;;-9;;;4;;-2;-10;-65;-30;;-5;;;1;;-9;;;4;;-2;-10;-65;-30;;-5;;;1;;-9;;;4;;-2;-10;-65;-30;;-5;;;1;;-9;;;4;;-2;-10;-65;-30;;-5;;;1;;-9;;;4;;-2;-10;-65;-30;;-5;;;1;;-9,1
-6;50;-1;24;;5;12;;5;;4;-6;50;-1;24;;5;12;;5;;4;-6;50;-1;24;;5;12;;5;;4;-6;50;-1;24;;5;12;;5;;4;-6;50;-1;24;;5;12;;5;;4;-6;50;-1;24;;5;12;;5;;4;-6;50;-1;24;;5;12;;5;;4;-6;50;-1;24;;5;12;;5;;4,1
-10;-37;;-1;;48;;29;;;4;;;2;-27;-10;-37;;-1;;48;;29;;;4;;;2;-27;-10;-37;;-1;;48;;29;;;4;;;2;-27;-10;-37;;-1;;48;;29;;;4;;;2;-27;-10;-37;;-1;;48;;29;;;4;;;2;-27;-10;-37;;-1;;48;;29;;;4;;;2;-27;-10;-37;;-1;;48;;29;;;4;;;2;-27;-10;-37;;-1;;48;;29;;;4;;;2;-27,1
-1;;3;;5;-3;-2;;8;-4;24;-1;;3;;5;-3;-2;;8;-4;24;-1;;3;;5;-3;-2;;8;-4;24;-1;;3;;5;-3;-2;;8;-4;24;-1;;3;;5;-3;-2;;8;-4;24;-1;;3;;5;-3;-2;;8;-4;24;-1;;3;;5;-3;-2;;8;-4;24;-1;;3;;5;-3;-2;;8;-4;24,1
-11;;;4;;-9;-12;;;2;-22;;;2;;10;-11;;;4;;-9;-12;;;2;-22;;;2;;10;-11;;;4;;-9;-12;;;2;-22;;;2;;10;-11;;;4;;-9;-12;;;2;-22;;;2;;10;-11;;;4;;-9;-12;;;2;-22;;;2;;10;-11;;;4;;-9;-12;;;2;-22;;;2;;10;-11;;;4;;-9;-12;;;2;-22;;;2;;10;-11;;;4;;-9;-12;;;2;-22;;;2;;10,1
-17;;17;;;7;-16;-29;;10;-20;-24;-17;;17;;;7;-16;-29;;10;-20;-24;-17;;17;;;7;-16;-29;;10;-20;-24;-17;;17;;;7;-16;-29;;10;-20;-24;-17;;17;;;7;-16;-29;;10;-20;-24;-17;;17;;;7;-16;-29;;10;-20;-24;-17;;17;;;7;-16;-29;;10;-20;-24;-17;;17;;;7;-16;-29;;10;-20;-24,1
-22;;36;;;4;-11;;;7;-24;;;1;;-9;-22;;36;;;4;-11;;;7;-24;;;1;;-9;-22;;36;;;4;-11;;;7;-24;;;1;;-9;-22;;36;;;4;-11;;;7;-24;;;1;;-9;-22;;36;;;4;-11;;;7;-24;;;1;;-9;-22;;36;;;4;-11;;;7;-24;;;1;;-9;-22;;36;;;4;-11;;;7;-24;;;1;;-9;-22;;36;;;4;-11;;;7;-24;;;1;;-9,1
