emg,gesture
-2;-9;;3;-2;;7;;0;-5;-4;-2;-9;;3;-2;;7;;0;-5;-4;-2;-9;;3;-2;;7;;0;-5;-4;-2;-9;;3;-2;;7;;0;-5;-4;-2;-9;;3;-2;;7;;0;-5;-4;-2;-9;;3;-2;;7;;0;-5;-4;-2;-9;;3;-2;;7;;0;-5;-4;-2;-9;;3;-2;;7;;0;-5;-4,1
;;2;-14;;-3;;-2;;-6;;-1;;;0;;;2;;;2;-14;;-3;;-2;;-6;;-1;;;0;;;2;;;2;-14;;-3;;-2;;-6;;-1;;;0;;;2;;;2;-14;;-3;;-2;;-6;;-1;;;0;;;2;;;2;-14;;-3;;-2;;-6;;-1;;;0;;;2;;;2;-14;;-3;;-2;;-6;;-1;;;0;;;2;;;2;-14;;-3;;-2;;-6;;-1;;;0;;;2;;;2;-14;;-3;;-2;;-6;;-1;;;0;;;2,1
;;2;;12;;21;;-8;-14;;-1;;-2;;;0;;;2;;12;;21;;-8;-14;;-1;;-2;;;0;;;2;;12;;21;;-8;-14;;-1;;-2;;;0;;;2;;12;;21;;-8;-14;;-1;;-2;;;0;;;2;;12;;21;;-8;-14;;-1;;-2;;;0;;;2;;12;;21;;-8;-14;;-1;;-2;;;0;;;2;;12;;21;;-8;-14;;-1;;-2;;;0;;;2;;12;;21;;-8;-14;;-1;;-2;;;0,1
;-5;-11;-15;;;2;;;7;;-5;;-1;;;6;;-5;-11;-15;;;2;;;7;;-5;;-1;;;6;;-5;-11;-15;;;2;;;7;;-5;;-1;;;6;;-5;-11;-15;;;2;;;7;;-5;;-1;;;6;;-5;-11;-15;;;2;;;7;;-5;;-1;;;6;;-5;-11;-15;;;2;;;7;;-5;;-1;;;6;;-5;-11;-15;;;2;;;7;;-5;;-1;;;6;;-5;-11;-15;;;2;;;7;;-5;;-1;;;6,1
;;7;-15;-18;;;5;;11;;;3;;;1;;;8;;;7;-15;-18;;;5;;11;;;3;;;1;;;8;;;7;-15;-18;;;5;;11;;;3;;;1;;;8;;;7;-15;-18;;;5;;11;;;3;;;1;;;8;;;7;-15;-18;;;5;;11;;;3;;;1;;;8;;;7;-15;-18;;;5;;11;;;3;;;1;;;8;;;7;-15;-18;;;5;;11;;;3;;;1;;;8;;;7;-15;-18;;;5;;11;;;3;;;1;;;8,1
;8;12;18;;5;;4;;3;-3;;9;;8;12;18;;5;;4;;3;-3;;9;;8;12;18;;5;;4;;3;-3;;9;;8;12;18;;5;;4;;3;-3;;9;;8;12;18;;5;;4;;3;-3;;9;;8;12;18;;5;;4;;3;-3;;9;;8;12;18;;5;;4;;3;-3;;9;;8;12;18;;5;;4;;3;-3;;9,1
;;0;-19;;;4;;;3;;-1;;;3;;;2;;;0;;;0;-19;;;4;;;3;;-1;;;3;;;2;;;0;;;0;-19;;;4;;;3;;-1;;;3;;;2;;;0;;;0;-19;;;4;;;3;;-1;;;3;;;2;;;0;;;0;-19;;;4;;;3;;-1;;;3;;;2;;;0;;;0;-19;;;4;;;3;;-1;;;3;;;2;;;0;;;0;-19;;;4;;;3;;-1;;;3;;;2;;;0;;;0;-19;;;4;;;3;;-1;;;3;;;2;;;0,1
;-2;-16;-12;;-6;;;0;;-2;;-3;;-2;;-2;-16;-12;;-6;;;0;;-2;;-3;;-2;;-2;-16;-12;;-6;;;0;;-2;;-3;;-2;;-2;-16;-12;;-6;;;0;;-2;;-3;;-2;;-2;-16;-12;;-6;;;0;;-2;;-3;;-2;;-2;-16;-12;;-6;;;0;;-2;;-3;;-2;;-2;-16;-12;;-6;;;0;;-2;;-3;;-2;;-2;-16;-12;;-6;;;0;;-2;;-3;;-2,1
-7;-6;-5;-2;-9;-3;-5;-9;-7;-6;-5;-2;-9;-3;-5;-9;-7;-6;-5;-2;-9;-3;-5;-9;-7;-6;-5;-2;-9;-3;-5;-9;-7;-6;-5;-2;-9;-3;-5;-9;-7;-6;-5;-2;-9;-3;-5;-9;-7;-6;-5;-2;-9;-3;-5;-9;-7;-6;-5;-2;-9;-3;-5;-9,1
;6;;7;10;-1;;0;-6;-2;;6;;6;;7;10;-1;;0;-6;-2;;6;;6;;7;10;-1;;0;-6;-2;;6;;6;;7;10;-1;;0;-6;-2;;6;;6;;7;10;-1;;0;-6;-2;;6;;6;;7;10;-1;;0;-6;-2;;6;;6;;7;10;-1;;0;-6;-2;;6;;6;;7;10;-1;;0;-6;-2;;6,1
